Reward: 1.6589, SE: 298.3309, QoE_volte: 1.0000, QoE_embb: 0.9993, QoE_urllc: 0.8659
Reward: -5.0000, SE: 171.6732, QoE_volte: 1.0000, QoE_embb: 0.8875, QoE_urllc: 1.0000
Reward: -7.0000, SE: 228.2723, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.0000
Reward: -5.0000, SE: 157.6781, QoE_volte: 1.0000, QoE_embb: 0.8101, QoE_urllc: 0.9826
Reward: 1.8843, SE: 243.0432, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.8884
Reward: -5.0000, SE: 178.0212, QoE_volte: 1.0000, QoE_embb: 0.9712, QoE_urllc: 0.8550
Reward: -7.0000, SE: 222.6303, QoE_volte: 1.0000, QoE_embb: 0.9998, QoE_urllc: 0.0000
Reward: -5.0000, SE: 133.1767, QoE_volte: 1.0000, QoE_embb: 0.7506, QoE_urllc: 0.9749
Reward: -7.0000, SE: 495.5401, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -5.0000, SE: 152.7499, QoE_volte: 1.0000, QoE_embb: 0.8283, QoE_urllc: 0.9097
Reward: 2.4684, SE: 252.3324, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9468
Reward: -7.0000, SE: 372.2279, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -6.9686, SE: 216.1405, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0031
Reward: 4.0000, SE: 255.9705, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9942
Reward: -7.0000, SE: 370.5575, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -7.0000, SE: 310.1636, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -7.0000, SE: 386.5624, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: -1.4625, SE: 386.1131, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.5537
Reward: -5.0000, SE: 137.1185, QoE_volte: 1.0000, QoE_embb: 0.4215, QoE_urllc: 1.0000
Reward: 4.0000, SE: 266.3239, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9970
Reward: -7.0000, SE: 187.0740, QoE_volte: 1.0000, QoE_embb: 0.9921, QoE_urllc: 0.0000
Reward: 2.4719, SE: 233.9192, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9472
Reward: -7.0000, SE: 438.6635, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 1.9286, SE: 198.8101, QoE_volte: 1.0000, QoE_embb: 0.9928, QoE_urllc: 0.8929
Reward: 4.0000, SE: 259.1175, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 1.0000
Reward: 4.0000, SE: 193.4546, QoE_volte: 1.0000, QoE_embb: 0.9951, QoE_urllc: 1.0000
Reward: -5.0000, SE: 176.6076, QoE_volte: 1.0000, QoE_embb: 0.9538, QoE_urllc: 0.9657
Reward: -4.8205, SE: 247.4890, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.2179
Reward: 1.1686, SE: 359.3303, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8169
Reward: -6.9756, SE: 329.1067, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0024
Reward: 4.0000, SE: 204.8886, QoE_volte: 1.0000, QoE_embb: 0.9981, QoE_urllc: 0.9898
Reward: -3.9231, SE: 324.4892, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.3077
Reward: -1.4548, SE: 322.5494, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.5545
Reward: 0.8981, SE: 201.0365, QoE_volte: 1.0000, QoE_embb: 0.9913, QoE_urllc: 0.7898
Reward: -7.0000, SE: 319.6472, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 1.9964, SE: 257.2402, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8996
Reward: 1.8583, SE: 380.0818, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.8858
Reward: -7.0000, SE: 281.9099, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.0000
Reward: 0.2963, SE: 230.1528, QoE_volte: 1.0000, QoE_embb: 0.9991, QoE_urllc: 0.7296
Reward: 6.1288, SE: 301.2882, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.9827
Reward: -0.0216, SE: 365.5876, QoE_volte: 1.0000, QoE_embb: 1.0000, QoE_urllc: 0.6978
